secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,2014-03-03,03783310,AAPL,3571,0,4,,0,314,522.81,530.65,523.42,527.76,8538426,0.002888,4,891989,4.161838
101594,2014-03-04,03783310,AAPL,3571,0,4,,0,314,527.77,532.64,531,531.24,9265171,0.006594,4,891989,4.161838
101594,2014-03-05,03783310,AAPL,3571,0,4,,0,314,529.13,534.75,530.92,532.36,7149617,0.002108,4,891989,4.161838
101594,2014-03-06,03783310,AAPL,3571,0,4,,0,314,528.1,534.4399,532.79,530.75,6628394,-0.003024,4,891989,4.161838
101594,2014-03-07,03783310,AAPL,3571,0,4,,0,314,526.05,531.98,531.09,530.44,7911011,-0.000584,4,892554,4.161838
101594,2014-03-10,03783310,AAPL,3571,0,4,,0,314,528.3391,533.33,528.36,530.92,6382421,0.000905,4,892554,4.161838
101594,2014-03-11,03783310,AAPL,3571,0,4,,0,314,532.59,538.74,535.45,536.09,10024338,0.009738,4,892554,4.161838
101594,2014-03-12,03783310,AAPL,3571,0,4,,0,314,532,537.35,534.51,536.61,7167609,0.00097,4,892554,4.161838
101594,2014-03-13,03783310,AAPL,3571,0,4,,0,314,529.16,539.66,537.44,530.65,9202457,-0.011107,4,892554,4.161838
101594,2014-03-14,03783310,AAPL,3571,0,4,,0,314,523,530.89,528.79,524.69,8465896,-0.011232,4,892554,4.161838
